time,class,confidence,bbox
2025-08-24 01:11:32,person,0.7942812442779541,"[479.51385498046875, 113.25657653808594, 515.8048706054688, 238.8833770751953]"
2025-08-24 01:11:32,person,0.6708272695541382,"[540.292236328125, 103.30987548828125, 580.1463623046875, 240.79837036132812]"
2025-08-24 01:11:32,person,0.6689043641090393,"[59.734580993652344, 124.19195556640625, 99.83707427978516, 215.53201293945312]"
2025-08-24 01:11:32,person,0.5675164461135864,"[0.1044464111328125, 196.79397583007812, 41.729591369628906, 323.9779357910156]"
2025-08-24 01:11:32,handbag,0.4702898859977722,"[31.72595977783203, 270.51904296875, 106.25182342529297, 324.78729248046875]"
2025-08-24 01:11:33,person,0.817870020866394,"[479.4269104003906, 113.13463592529297, 515.8865356445312, 238.51837158203125]"
2025-08-24 01:11:33,person,0.6275805830955505,"[540.0966186523438, 103.6518783569336, 579.2865600585938, 238.9813232421875]"
2025-08-24 01:11:33,person,0.5311315059661865,"[0.14962005615234375, 195.8311767578125, 42.34778594970703, 322.7724609375]"
2025-08-24 01:11:33,handbag,0.4797200858592987,"[33.0949821472168, 259.27911376953125, 106.26667785644531, 324.7999267578125]"
2025-08-24 01:11:33,person,0.43747106194496155,"[58.892822265625, 122.00772094726562, 90.47552490234375, 214.79232788085938]"
2025-08-24 01:11:33,person,0.27722084522247314,"[567.5360107421875, 118.57382202148438, 591.87451171875, 195.22042846679688]"
2025-08-24 01:11:33,person,0.7947393655776978,"[479.2879638671875, 113.65278625488281, 515.9192504882812, 238.45973205566406]"
2025-08-24 01:11:33,person,0.6455455422401428,"[540.3635864257812, 103.48645782470703, 577.6740112304688, 239.71316528320312]"
2025-08-24 01:11:33,person,0.56585693359375,"[0.11375045776367188, 196.2415313720703, 41.62309646606445, 324.4320068359375]"
2025-08-24 01:11:33,person,0.4979657530784607,"[52.99995040893555, 123.51034545898438, 88.89131164550781, 213.98056030273438]"
2025-08-24 01:11:33,handbag,0.4817813038825989,"[32.80781555175781, 261.75189208984375, 106.36500549316406, 324.822509765625]"
2025-08-24 01:11:33,person,0.28952300548553467,"[567.5355224609375, 117.75074768066406, 591.630615234375, 197.2801971435547]"
2025-08-24 01:11:33,person,0.7725932598114014,"[479.6117248535156, 113.92234802246094, 515.75830078125, 237.8777618408203]"
2025-08-24 01:11:33,person,0.6680801510810852,"[540.1295776367188, 103.12090301513672, 578.7357788085938, 240.69247436523438]"
2025-08-24 01:11:33,person,0.6138182878494263,"[47.05876541137695, 121.48263549804688, 86.2999267578125, 215.17031860351562]"
2025-08-24 01:11:33,person,0.5890440940856934,"[0.0, 195.1189422607422, 41.13275146484375, 339.95391845703125]"
2025-08-24 01:11:33,handbag,0.4791862666606903,"[33.44535827636719, 259.19134521484375, 106.35160827636719, 324.24603271484375]"
2025-08-24 01:11:33,person,0.25410357117652893,"[568.1015625, 116.79829406738281, 592.79638671875, 197.3865203857422]"
2025-08-24 01:11:33,person,0.7729570269584656,"[478.4273986816406, 113.5737075805664, 514.6869506835938, 238.51980590820312]"
2025-08-24 01:11:33,person,0.6626520156860352,"[539.7885131835938, 103.0612564086914, 577.4990844726562, 240.65328979492188]"
2025-08-24 01:11:33,person,0.6215324401855469,"[45.524574279785156, 120.45993041992188, 83.98055267333984, 214.78045654296875]"
